Image,Original Name,Word Count Range,Article Number,Image Sequence,Font Size,Blur Level,Background Color,Gold Label,Response
1,110-130_10_01_base_12.jpg,110-130,10,1,12,0,white,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہوگئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا باقاعدہ آغاز کل سے ہوگا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مدمقابل آئیں گی۔ مزید پڑھیں:آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے پلئینگ الیون کا اعلان کردیا وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔,"پاکستان اور آسٹریلیا کے خلاف ون ڈے سیریز میں اپنی سونگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولر شاہین اور شاہد آفریدی نے 
میلبورن میں کرکٹ آسٹریلیا کے سوشل میڈیا ایوارڈز جیت لی۔ دنیا بھر میں اپنی سونگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولر شاہین اور شاہد آفریدی نے 
میلبورن میں کرکٹ آسٹریلیا کے سوشل میڈیا ایوارڈز جیت لی۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔ دونوں کے درمیان میلبورن میں پہلا ون ڈے میچ ہوگا۔"
2,110-130_10_02_base_18.jpg,110-130,10,2,18,0,white,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہوگئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا باقاعدہ آغاز کل سے ہوگا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مدمقابل آئیں گی۔ مزید پڑھیں:آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے پلئینگ الیون کا اعلان کردیا وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہو گئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا آغاز کل سے ہو گا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مد مقابل آئیں گی۔ مزید پڑھیں: آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے پلینگ الیون کا اعلان کر دیا۔ وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی 20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔
3,110-130_10_02_base_18_bg-light_yellow.jpg,110-130,10,2,18,0,light_yellow,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہوگئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا باقاعدہ آغاز کل سے ہوگا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مدمقابل آئیں گی۔ مزید پڑھیں:آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے پلئینگ الیون کا اعلان کردیا وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہو گئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے کراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا آغاز کل سے ہو گا، جہاں پہلے ون ڈے میں پاکستان اور آسٹریلیا کی ٹیمیں مد مقابل آئیں گی۔ مزید پڑھیں: آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے ہیلنک الیون کا اعلان کر دیا۔ الیون میں 3 ون ڈے اور 203 ٹیچر شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔
4,110-130_10_02_base_18_bg-slate_gray.jpg,110-130,10,2,18,0,slate_gray,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہوگئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا باقاعدہ آغاز کل سے ہوگا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مدمقابل آئیں گی۔ مزید پڑھیں:آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے پلئینگ الیون کا اعلان کردیا وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور بابر اعظم کی سیلفی سوشل میڈیا پر وائرل ہو گئی۔ سیلفی میں اپنی مسکنگ ہنک سے شہرت حاصل کرنے والے فاسٹ باؤلر شاہین اور سٹار کرکٹر بابر دونوں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی۔ بیک گراؤنڈ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان مقابلہ کل سے شروع ہوگا جہاں بیلاونڈے کے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مد مقابل آئیں گی۔ مزید پڑھیں: آسٹریلیا کے خلاف بیلاونڈے سیریز میں 3 ٹی 20 اور 3 ون ڈے میچز شامل ہیں۔ جو 4 سے 18 نومبر تک شیڈول ہے۔
5,110-130_10_02_base_18_blur-0.75.jpg,110-130,10,2,18,0.75,white,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہوگئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا باقاعدہ آغاز کل سے ہوگا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مدمقابل آئیں گی۔ مزید پڑھیں:آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے پلئینگ الیون کا اعلان کردیا وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور چلی اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہو گئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین آفریدی نے ممبئی کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا آغاز کل سے ہو گا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مد مقابل آئیں گی۔ مزید پڑھیں: آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے ہائی لنک ایونٹ کا اعلان کر دیا۔ وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی 20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔
6,110-130_10_02_base_18_blur-1.5.jpg,110-130,10,2,18,1.5,white,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہوگئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا باقاعدہ آغاز کل سے ہوگا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مدمقابل آئیں گی۔ مزید پڑھیں:آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے پلئینگ الیون کا اعلان کردیا وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور بابر اعظم کی سیلفی سوشل میڈیا پر وائرل ہو گئی۔ دبئی میں اپنی سونگنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین آفریدی نے مسلم لیگ کرکٹ کے گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو سیشن میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا باقاعدہ آغاز کل سے ہو گا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مد مقابل آئیں گی۔ مزید پڑھیں: آسٹریلیا کے خلاف پہلے ون ڈے کیلئے پاکستان نے پنچنگ ایون کا اعلان کر دیا۔ وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی 20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔
7,110-130_10_03_base_24.jpg,110-130,10,3,24,0,white,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہوگئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا باقاعدہ آغاز کل سے ہوگا، جہاں پہلے ون ڈے میچ میں پاکستان اور آسٹریلیا کی ٹیمیں مدمقابل آئیں گی۔ مزید پڑھیں:آسٹریلیا کیخلاف پہلے ون ڈے کیلئے پاکستان نے پلئینگ الیون کا اعلان کردیا وائٹ بال سیریز میں 3 ون ڈے اور 3 ٹی20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔,پاکستان اور آسٹریلیا کے خلاف وائٹ بال سیریز سے قبل شاہین آفریدی اور مچل اسٹارک کی سیلفی سوشل میڈیا پر وائرل ہو گئی۔ دنیا بھر میں اپنی سوئنگ بالنگ سے شہرت حاصل کرنے والے فاسٹ بولرز شاہین اور اسٹارک نے میلبرن کرکٹ گراؤنڈ میں ایک دوسرے سے ملاقات کی اور سیلفی بھی بنائی جبکہ فوٹو شوٹ میں بھی حصہ لیا۔ دونوں ٹیموں کے درمیان سیریز کا آغاز کل سے ہو گا، جہاں پہلے ون ڈے میں پاکستان اور آسٹریلیا کی ٹیمیں مد مقابل آئیں گی۔ مزید پڑھیں: آسٹریلیا خلاف پہلے ون ڈے کیلئے پاکستان نے پلینگ الیون کا اعلان کر دیا وائٹ بال سیریز میں 3 ون ڈے اور 20 ٹی 20 میچز شامل ہیں، جو 4 سے 18 نومبر تک شیڈول ہے۔
8,110-130_11_01_base_12.jpg,110-130,11,1,12,0,white,آسٹریلیا کے خلاف پہلے ون ڈے میچ کیلئے سلیکشن کمیٹی نے پلئینگ الیون کا اعلان کردیا۔ کینگروز کیخلاف میلبرن میں شیڈول سیریز کے پہلے ون ڈے میچ کیلئے بابراعظم، شاہین شاہ آفریدی اور نسیم شاہ کی واپسی ہوئی ہے۔ وکٹ کیپر بیٹر محمد رضوان بطور کپتان ٹیم کی قیادت کے فرائض نبھائیں جبکہ آغا سلمان انکے نائب ہوں گے۔ مزید پڑھیں:محمد رضوان ون ڈے اور ٹی ٹوئنٹی کے کپتان مقرر پہلے ون ڈے کیلئے پاکستان کی پلئینگ الیون: کپتان محمد رضوان، عبداللہ شفیق، صائم ایوب، بابراعظم، کامران غلام، سلمان آغا، محمد عرفان خان، شاہین شاہ آفریدی، نسیم شاہ، حارث رؤف اور محمد حسنین شامل ہیں۔ میچ پاکستانی وقت کے مطابق صبح 8:30 بجے شروع ہوگا۔,آسٹریلیا کے خلاف سیریز ون ڈے میچ کیلئے سلیکشن کمیٹی نے بلیو ٹیم کا اعلان کر دیا۔ بلیو ٹیم کے پہلے ون ڈے میچ کیلئے اعظم شہاب، شاہ آفرین، اور نسیم شاہ کی واپسی ہوئی ہے۔ وکٹ کیپر محمد رضوان ٹیم کی قیادت کریں گے۔ محمد رضوان ون ڈے سیریز کیلئے پاکستان کے کپتان ہیں۔ بلیو ٹیم کے کپتان ایڈن: کپتان محمد رضوان، عبداللہ شفیق، عمران خان، شہاب اعظم، صائم ایوب، بابر اعظم، محمد عرفان خان، شاہد، رضوان، نسیم شاہ شامل ہیں۔ میچ پاکستانی وقت کے مطابق صبح 8:30 بجے شروع ہوگا۔
9,110-130_11_02_base_18.jpg,110-130,11,2,18,0,white,آسٹریلیا کے خلاف پہلے ون ڈے میچ کیلئے سلیکشن کمیٹی نے پلئینگ الیون کا اعلان کردیا۔ کینگروز کیخلاف میلبرن میں شیڈول سیریز کے پہلے ون ڈے میچ کیلئے بابراعظم، شاہین شاہ آفریدی اور نسیم شاہ کی واپسی ہوئی ہے۔ وکٹ کیپر بیٹر محمد رضوان بطور کپتان ٹیم کی قیادت کے فرائض نبھائیں جبکہ آغا سلمان انکے نائب ہوں گے۔ مزید پڑھیں:محمد رضوان ون ڈے اور ٹی ٹوئنٹی کے کپتان مقرر پہلے ون ڈے کیلئے پاکستان کی پلئینگ الیون: کپتان محمد رضوان، عبداللہ شفیق، صائم ایوب، بابراعظم، کامران غلام، سلمان آغا، محمد عرفان خان، شاہین شاہ آفریدی، نسیم شاہ، حارث رؤف اور محمد حسنین شامل ہیں۔ میچ پاکستانی وقت کے مطابق صبح 8:30 بجے شروع ہوگا۔,آسٹریلیا کے خلاف پہلے ون ڈے میچ کیلئے سلیکشن کمیٹی نے پلیئنگ الیون کا اعلان کر دیا۔ کیپنگ و زکیپنگ میں شیدول سیرینز کے پہلے ون ڈے میچ کیلئے بابر اعظم، شاہین شاہ آفریدی اور نسیم شاہ کی واپسی ہوئی۔ بیٹر رضوان بطور کپتان ٹیم کی قیادت کے فرائض نبھائیں گے جبکہ آغا سلمان انکے نائب ہوں گے۔ مزید پڑھیں۔ محمد رضوان ون ڈے اور ٹی ٹوئنٹی دونوں کیلئے کپتان مقرر رہیں۔ ون ڈے کی پلیئنگ الیون: کپتان محمد رضوان، عبداللہ شفیق، صائم ایوب، بابر اعظم، کامران غلام، سلمان آغا، محمد عرفان خان، شاہین شاہ آفریدی، نسیم شاہ، حارث رؤف اور محمد حسنین شامل ہیں۔ میچ پاکستانی وقت کے مطابق صبح 8:30 بجے شروع ہوگا۔
10,110-130_11_02_base_18_bg-light_yellow.jpg,110-130,11,2,18,0,light_yellow,آسٹریلیا کے خلاف پہلے ون ڈے میچ کیلئے سلیکشن کمیٹی نے پلئینگ الیون کا اعلان کردیا۔ کینگروز کیخلاف میلبرن میں شیڈول سیریز کے پہلے ون ڈے میچ کیلئے بابراعظم، شاہین شاہ آفریدی اور نسیم شاہ کی واپسی ہوئی ہے۔ وکٹ کیپر بیٹر محمد رضوان بطور کپتان ٹیم کی قیادت کے فرائض نبھائیں جبکہ آغا سلمان انکے نائب ہوں گے۔ مزید پڑھیں:محمد رضوان ون ڈے اور ٹی ٹوئنٹی کے کپتان مقرر پہلے ون ڈے کیلئے پاکستان کی پلئینگ الیون: کپتان محمد رضوان، عبداللہ شفیق، صائم ایوب، بابراعظم، کامران غلام، سلمان آغا، محمد عرفان خان، شاہین شاہ آفریدی، نسیم شاہ، حارث رؤف اور محمد حسنین شامل ہیں۔ میچ پاکستانی وقت کے مطابق صبح 8:30 بجے شروع ہوگا۔,آسٹریلیا کے خلاف پہلے ون ڈے میچ کیلئے سلیکشن کمیٹی نے پلینگ الیون کا اعلان کر دیا۔ کیپٹن بابر اعظم کی قیادت میں شیدول سیریز کے پہلے ون ڈے میچ کیلئے واپس ہوئی۔ ڈیوڈ ٹریٹر ٹیم بیٹر رضوان بطور کپتان ٹیم کی قیادت کے فرائض نبھائیں گے جبکہ آنا محمد رضوان ون ڈے اور ٹی ٹوئنٹی فارمیٹ کیلئے پاکستان کی کپتان مقرر رہیں گے۔ مزید ریڈ کریں۔ محمد رضوان ون ڈے کے کپتان مقرر رہیں گے۔ پاکستان کی پلینگ الیون: کپتان محمد رضوان، عبداللہ شفیق، صائم ایوب، بابر اعظم، سلمان آغا، محمد عرفان خان، شاہین شاہ آفریدی، حارث رؤف اور محمد حسنین شامل ہیں۔ میچ پاکستانی وقت کے مطابق صبح 8:30 بجے شروع ہوگا۔
