Image,Original Name,Word Count Range,Sentence Number,Image Sequence,Font Size,Font Style,Blur Level,Background Color,Gold Label,Response
1,40-60_10_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,10,1,12,Jameel Noori Nastaleeq,0,0,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرے ٹیسٹ میچ ملتوی کرنے کی خبروں کی تردید کردی۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ تیسرے ٹیسٹ میچ ملتوی کرنے کی خبریں کسی صداقت نہیں رکھتیں۔ تیسرے ٹیسٹ میچ شیڈول کے مطابق 24 اکتوبر کو کھیلا جائے گا۔
2,40-60_10_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,10,2,18,Jameel Noori Nastaleeq,0,0,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان ٹیرا اسٹیٹ پچ منتقل کرنے کی خبروں کی تردید کردی۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ ٹیرا اسٹیٹ پچ منتقل کرنے کی خبروں کو کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں ٹیرا اسٹیٹ پچ شیڈول کے مطابق 24 اکتوبر کو کھیلا جائےگا۔
3,40-60_10_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,10,2,18,Jameel Noori Nastaleeq,0,light_yellow,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیرا اکتوبر کو ہونے والے تیرا انٹرنیشنل میچ ملتوی کرنے کی خبروں کی تردید کردی۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ تیرا انٹرنیشنل میچ ملتوی کرنے کی خبروں کو کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیرا انٹرنیشنل میچ شیڈول کے مطابق 24 اکتوبر کو کھیلا جائے گا۔
4,40-60_10_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,10,2,18,Jameel Noori Nastaleeq,0,slate_gray,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرے ٹیسٹ میچ شامل کرنے کی خبروں کی تردید کردی۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ تیسرے ٹیسٹ میچ میں کوئی صداقت نہیں۔ اور اپنڈی کرکٹ اسٹیڈیم میں تیسرے ٹیسٹ میچ شیڈول کے مطابق 24 نومبر کو کھیلا جائے گا۔
5,40-60_10_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,10,2,18,Jameel Noori Nastaleeq,1.25,0,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیرا میچ ملتوی کرنے کی خبروں کی تردید کردی۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ تیرا میچ ملتوی کرنے کی خبروں میں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیرا میچ شیڈول کے مطابق 24 اکتوبر کو کھیلا جائے گا۔
6,40-60_10_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,10,2,18,Jameel Noori Nastaleeq,1.75,0,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان ٹیرا نائٹ میچ ملتوی کرنے کی خبروں کی تردید کردی۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ ٹیرا نائٹ میچ ملتوی کرنے کی خبر میں کوئی صداقت نہیں۔ ہراوپنڈی کرکٹ اسٹیڈیم میں ٹیرا نائٹ شیڈول کے مطابق 24 اکتوبر کو کھیلا جائے گا۔
7,40-60_10_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,10,3,24,Jameel Noori Nastaleeq,0,0,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرے ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ تیسرے ٹیسٹ میچ ملتان منتقل کرنے کی خبر میں کوئی صداقت نہیں۔ راولپنڈی کرکٹ اسٹیڈیم میں تیسرے ٹیسٹ میچ شیڈول کے مطابق 24 اکتوبر کو کھیلا جائے گا۔
8,40-60_10_04_base_18_Alvi Nastaleeq.jpg,40-60,10,4,18,Alvi Nastaleeq,0,0,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرے ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ تیسرے ٹیسٹ میچ ملتان منتقل کرنے کی خبریں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسرے ٹیسٹ شیڈول کے مطابق 24 اکتوبر کو کھیلا جائے گا۔
9,40-60_10_05_base_18_Nafees Nastaleeq.jpg,40-60,10,5,18,Nafees Nastaleeq,0,0,پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرا ٹیسٹ میچ ملتان منتقل کرنے کی خبروں کی تردید کر دی ۔ تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیاہے کہ تیسراٹیسٹ میچ ملتان منتقل کرنےکی خبرمیں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسراٹیسٹ میچ شیڈول کےمطابق24اکتوبرکوکھیلاجائیگا۔,"پاکستان کرکٹ بورڈ نے پاکستان اور انگلینڈ کے درمیان تیسرے ٹی ٹوئنٹی میچ ملتان منتقل کرنے کی خبروں کی تردید کردی۔ 
تفصیلات کے مطابق پی سی بی کی جانب سے جاری کردہ بیان میں کہا گیا ہے کہ تیسرے ٹی ٹوئنٹی میچ ملتان کرانے کی خبریں کوئی صداقت نہیں، راولپنڈی کرکٹ اسٹیڈیم میں تیسرے ٹی ٹوئنٹی میچ شیڈول کے مطابق 24 اکتوبر کو کھیلا جائے گا۔"
10,40-60_11_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,11,1,12,Jameel Noori Nastaleeq,0,0,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار عابد علی انتقال کر گئے۔ عابد علی کی بیٹی نے اپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصے سے بیمار تھے۔ عابد علی نے سینکڑوں ٹی وی ڈراموں، اسٹیج اور فلموں میں کام کیا، انہوں نے اپنے پس ماندگان میں دو بیٹیاں اور دو بیٹے چھوڑے ہیں۔ ان کی عمر 74 سال تھی۔
